choice_code,institute_code,branch_name,course
0276182310,02761,Pharmacy,Pharmacy
0276382310,02763,Pharmacy,Pharmacy
0276482310,02764,Pharmacy,Pharmacy
0279782310,02797,Pharmacy,Pharmacy
0300582310,03005,Pharmacy,Pharmacy
0301582310,03015,Pharmacy,Pharmacy
0301682310,03016,Pharmacy,Pharmacy
0303682310,03036,Pharmacy,Pharmacy
0316382310,03163,Pharmacy,Pharmacy
0320582310,03205,Pharmacy,Pharmacy
0322582310,03225,Pharmacy,Pharmacy
0322682310,03226,Pharmacy,Pharmacy
0322882310,03228,Pharmacy,Pharmacy
0322982310,03229,Pharmacy,Pharmacy
0323082310,03230,Pharmacy,Pharmacy
0323182310,03231,Pharmacy,Pharmacy
0323282310,03232,Pharmacy,Pharmacy
0323382310,03233,Pharmacy,Pharmacy
0323482310,03234,Pharmacy,Pharmacy
0323582310,03235,Pharmacy,Pharmacy
0323682310,03236,Pharmacy,Pharmacy
0323782310,03237,Pharmacy,Pharmacy
0323882310,03238,Pharmacy,Pharmacy
0323982310,03239,Pharmacy,Pharmacy
0324082310,03240,Pharmacy,Pharmacy
0324182310,03241,Pharmacy,Pharmacy
0324282310,03242,Pharmacy,Pharmacy
0343982310,03439,Pharmacy,Pharmacy
0346482310,03464,Pharmacy,Pharmacy
0348082310,03480,Pharmacy,Pharmacy
0348582310,03485,Pharmacy,Pharmacy
0348682310,03486,Pharmacy,Pharmacy
0348782310,03487,Pharmacy,Pharmacy
0349082310,03490,Pharmacy,Pharmacy
0349282310,03492,Pharmacy,Pharmacy
0349982310,03499,Pharmacy,Pharmacy
0350182310,03501,Pharmacy,Pharmacy
0350482310,03504,Pharmacy,Pharmacy
0350682310,03506,Pharmacy,Pharmacy
0350882310,03508,Pharmacy,Pharmacy
0350982310,03509,Pharmacy,Pharmacy
0351082310,03510,Pharmacy,Pharmacy
0353182310,03531,Pharmacy,Pharmacy
0353282310,03532,Pharmacy,Pharmacy
0353382310,03533,Pharmacy,Pharmacy
0353682310,03536,Pharmacy,Pharmacy
0353782310,03537,Pharmacy,Pharmacy
0354182310,03541,Pharmacy,Pharmacy
0354282310,03542,Pharmacy,Pharmacy
0354382310,03543,Pharmacy,Pharmacy
0354582310,03545,Pharmacy,Pharmacy
0371082310,03710,Pharmacy,Pharmacy
0371182310,03711,Pharmacy,Pharmacy
0371282310,03712,Pharmacy,Pharmacy
0371482310,03714,Pharmacy,Pharmacy
0371582310,03715,Pharmacy,Pharmacy
0371682310,03716,Pharmacy,Pharmacy
0372882310,03728,Pharmacy,Pharmacy
0400682310,04006,Pharmacy,Pharmacy
0402082370,04020,Pharmacy,Pharmacy
0416082310,04160,Pharmacy,Pharmacy
0416182310,04161,Pharmacy,Pharmacy
0419982310,04199,Pharmacy,Pharmacy
0420182310,04201,Pharmacy,Pharmacy
0420282310,04202,Pharmacy,Pharmacy
0420482310,04204,Pharmacy,Pharmacy
0420582310,04205,Pharmacy,Pharmacy
0420682310,04206,Pharmacy,Pharmacy
0420782310,04207,Pharmacy,Pharmacy
0420882310,04208,Pharmacy,Pharmacy
0420982310,04209,Pharmacy,Pharmacy
0421082310,04210,Pharmacy,Pharmacy
0421382310,04213,Pharmacy,Pharmacy
0426182310,04261,Pharmacy,Pharmacy
0426382310,04263,Pharmacy,Pharmacy
0426582310,04265,Pharmacy,Pharmacy
0426982310,04269,Pharmacy,Pharmacy
0427082310,04270,Pharmacy,Pharmacy
0427182310,04271,Pharmacy,Pharmacy
0427282310,04272,Pharmacy,Pharmacy
0427482310,04274,Pharmacy,Pharmacy
0427882310,04278,Pharmacy,Pharmacy
0427982310,04279,Pharmacy,Pharmacy
0428082310,04280,Pharmacy,Pharmacy
0428382310,04283,Pharmacy,Pharmacy
0464382310,04643,Pharmacy,Pharmacy
0465082310,04650,Pharmacy,Pharmacy
0465182310,04651,Pharmacy,Pharmacy
0465282310,04652,Pharmacy,Pharmacy
0465482310,04654,Pharmacy,Pharmacy
0465682310,04656,Pharmacy,Pharmacy
0465882310,04658,Pharmacy,Pharmacy
0465982310,04659,Pharmacy,Pharmacy
0466082310,04660,Pharmacy,Pharmacy
0466482310,04664,Pharmacy,Pharmacy
0466582310,04665,Pharmacy,Pharmacy
0467382310,04673,Pharmacy,Pharmacy
0467782310,04677,Pharmacy,Pharmacy
0468082310,04680,Pharmacy,Pharmacy
0468282310,04682,Pharmacy,Pharmacy
0468582310,04685,Pharmacy,Pharmacy
0468882310,04688,Pharmacy,Pharmacy
0469082310,04690,Pharmacy,Pharmacy
0469282310,04692,Pharmacy,Pharmacy
0469382310,04693,Pharmacy,Pharmacy
0469482310,04694,Pharmacy,Pharmacy
0469582310,04695,Pharmacy,Pharmacy
0469782310,04697,Pharmacy,Pharmacy
0469882310,04698,Pharmacy,Pharmacy
0475182310,04751,Pharmacy,Pharmacy
0475682310,04756,Pharmacy,Pharmacy
0500582310,05005,Pharmacy,Pharmacy
0515410010,05154,Pharm D ( Doctor of Pharmacy),Pharmacy
0515482310,05154,Pharmacy,Pharmacy
0515582310,05155,Pharmacy,Pharmacy
0518510010,05185,Pharm D ( Doctor of Pharmacy),Pharmacy
0518582310,05185,Pharmacy,Pharmacy
0518610010,05186,Pharm D ( Doctor of Pharmacy),Pharmacy
0518682310,05186,Pharmacy,Pharmacy
0518782310,05187,Pharmacy,Pharmacy
0518982310,05189,Pharmacy,Pharmacy
0519082310,05190,Pharmacy,Pharmacy
0519110010,05191,Pharm D ( Doctor of Pharmacy),Pharmacy
0519182310,05191,Pharmacy,Pharmacy
0519282310,05192,Pharmacy,Pharmacy
0519382310,05193,Pharmacy,Pharmacy
0519482310,05194,Pharmacy,Pharmacy
