choice_code,institute_code,branch_name,course
0411561210,04115,Mechanical Engineering,B.E/B.Tech
0411590010,04115,Electronics and Computer Science,B.E/B.Tech
0411591010,04115,Computer Science and Engineering(Cyber Security),B.E/B.Tech
0411591110,04115,Computer Science and Engineering(Artificial Intelligence and Machine Learning),B.E/B.Tech
0411591210,04115,Computer Science and Engineering(Data Science),B.E/B.Tech
0411619110,04116,Civil Engineering,B.E/B.Tech
0411624210,04116,Computer Science and Engineering,B.E/B.Tech
0411624610,04116,Information Technology,B.E/B.Tech
0411626010,04116,Computer Science and Engineering (Cyber Security),B.E/B.Tech
0411626710,04116,Computer Science and Engineering (IoT),B.E/B.Tech
0411629310,04116,Electrical Engineering,B.E/B.Tech
0411637210,04116,Electronics and Telecommunication Engg,B.E/B.Tech
0411637610,04116,Electronics Engineering,B.E/B.Tech
0411661210,04116,Mechanical Engineering,B.E/B.Tech
0411691110,04116,Computer Science and Engineering(Artificial Intelligence and Machine Learning),B.E/B.Tech
0411691310,04116,Computer Science and Engineering (Artificial Intelligence),B.E/B.Tech
0411691710,04116,Data Science,B.E/B.Tech
0411699710,04116,Artificial Intelligence,B.E/B.Tech
0412300210,04123,Aeronautical Engineering,B.E/B.Tech
0412308210,04123,Bio Technology,B.E/B.Tech
0412319110,04123,Civil Engineering,B.E/B.Tech
0412324210,04123,Computer Science and Engineering,B.E/B.Tech
0412324610,04123,Information Technology,B.E/B.Tech
0412325110,04123,Computer Technology,B.E/B.Tech
0412326510,04123,Industrial IoT,B.E/B.Tech
0412326610,04123,Robotics and Artificial Intelligence,B.E/B.Tech
0412329310,04123,Electrical Engineering,B.E/B.Tech
0412335610,04123,Electrical Engg[Electronics and Power],B.E/B.Tech
0412337010,04123,Electronics and Communication Engineering,B.E/B.Tech
0412337210,04123,Electronics and Telecommunication Engg,B.E/B.Tech
0412350710,04123,Chemical Engineering,B.E/B.Tech
0412361210,04123,Mechanical Engineering,B.E/B.Tech
0412399510,04123,Artificial Intelligence and Data Science,B.E/B.Tech
0413619110,04136,Civil Engineering,B.E/B.Tech
0413624210,04136,Computer Science and Engineering,B.E/B.Tech
0413629310,04136,Electrical Engineering,B.E/B.Tech
0413637210,04136,Electronics and Telecommunication Engg,B.E/B.Tech
0413699710,04136,Artificial Intelligence,B.E/B.Tech
0413724210,04137,Master of Computer Applications,MCA
0413729310,04137,Electrical Engineering,B.E/B.Tech
0413737210,04137,Electronics and Telecommunication Engg,B.E/B.Tech
0413761210,04137,Mechanical Engineering,B.E/B.Tech
0413791110,04137,Computer Science and Engineering(Artificial Intelligence and Machine Learning),B.E/B.Tech
0413791210,04137,Computer Science and Engineering(Data Science),B.E/B.Tech
0413819110,04138,Civil Engineering,B.E/B.Tech
0413824210,04138,Computer Science and Engineering,B.E/B.Tech
0413824610,04138,Information Technology,B.E/B.Tech
0413829310,04138,Electrical Engineering,B.E/B.Tech
0413837210,04138,Electronics and Telecommunication Engg,B.E/B.Tech
0413861210,04138,Mechanical Engineering,B.E/B.Tech
0413891210,04138,Computer Science and Engineering(Data Science),B.E/B.Tech
0413899710,04138,Artificial Intelligence,B.E/B.Tech
0413924210,04139,Computer Science and Engineering,B.E/B.Tech
0413929310,04139,Electrical Engineering,B.E/B.Tech
0413937210,04139,Electronics and Telecommunication Engg,B.E/B.Tech
0413961210,04139,Mechanical Engineering,B.E/B.Tech
0413991110,04139,Computer Science and Engineering(Artificial Intelligence and Machine Learning),B.E/B.Tech
0413992810,04139,Electronics and Communication(Advanced Communication Technology),B.E/B.Tech
0414219110,04142,Civil Engineering,B.E/B.Tech
0414224210,04142,Computer Science and Engineering,B.E/B.Tech
0414224610,04142,Information Technology,B.E/B.Tech
0414229310,04142,Electrical Engineering,B.E/B.Tech
0414237210,04142,Electronics and Telecommunication Engg,B.E/B.Tech
0414261210,04142,Mechanical Engineering,B.E/B.Tech
