institute_code,institute_name,university,status_type
02508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Maharashtra State,Approved Institute
02516,International Centre Of Excellence In Engineering and Management (ICEEM),Maharashtra State,Approved Institute
02519,"Shri V. D. Deshmukh College of MCA, Kolpa Dist. Latur",Maharashtra State,Approved Institute
02522,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",Maharashtra State,Approved Institute
02533,"CSMSS Chh. Shahu College of Engineering, Aurangabad",Maharashtra State,Approved Institute
02569,"Suraj Institute of Management, Beed",Maharashtra State,Approved Institute
02621,"MDA EDUCATION AND RESEARCH INSTITUTE, KOLPA, LATUR",Maharashtra State,Approved Institute
02622,"Jay Bhavani Institute of Management, Badnapur, Jalna",Maharashtra State,Approved Institute
02633,"Yashodeep Institute of Computer Application, MCA",Maharashtra State,Approved Institute
02634,"Eaglewood Polytechnic Institute, A.P Phulepimpalgaon",Maharashtra State,Approved Institute
02635,"Shri. Sambhaji College of Management & Technology, Degaon Road, Opp. Nadla Digras, Khadkut, Nanded",Maharashtra State,Approved Institute
02637,"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded",Maharashtra State,Approved Institute
02641,Dr. V.K. Patil College of Engineering & Technology,Maharashtra State,Approved Institute
02664,"Deogiri College, Chh. Sambhaji Nagar",Maharashtra State,Approved Institute
02665,"Royal Institute of Technical Education, Latur",Maharashtra State,Approved Institute
02666,Mangaldeep College of Engineering,Maharashtra State,Approved Institute
02667,DAYANAND COLLEGE OF COMMERCE LATUR,Maharashtra State,Approved Institute
02672,ARTS SCIENCE AND COMMERCE COLLEGE,Maharashtra State,Approved Institute
02674,MAHARASHTRA MAHAVIDYALAYA NILANGA,Maharashtra State,Approved Institute
02694,JAY BHARAT COLLEGE OF MCA DAPKA TQ.NILANGA DIST LATUR,Maharashtra State,Approved Institute
02695,"MARATHWADA INSTITUTE OF TECHNOLOGY CIDCO ,CHHATRAPATI SAMBHAJINAGAR",Maharashtra State,Approved Institute
02758,Sant Eknath College of Engineering,Maharashtra State,Approved Institute
02770,"Shetkari Shikshan Prasarak Mandal's Mahesh Institute of Engineering and Technology , Ashti",Maharashtra State,Approved Institute
02771,Amolak College of Engineering Kada,Maharashtra State,Approved Institute
02772,JSPM College of Engineering,Maharashtra State,Approved Institute
02777,CDS College of Engineering,Maharashtra State,Approved Institute
02779,NKSPT INSTITUTE OF ENGINEERING AND TECHNOLOGY PATHIKAR CAMPUS,Maharashtra State,Approved Institute
03012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Maharashtra State,Approved Institute
03014,"Sardar Patel College of Engineering, Andheri",Maharashtra State,Approved Institute
03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,Maharashtra State,Approved Institute
03032,"S.N.D.T Women's University P.G.D. of Computer Science, Mumbai",Maharashtra State,Approved Institute
03033,"Dr. Babasaheb Ambedkar Technological University, Lonere",Maharashtra State,Approved Institute
03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",Maharashtra State,Approved Institute
03036,"Institute of Chemical Technology, Matunga, Mumbai",Maharashtra State,Approved Institute
03042,"Loknete Shamrao Peje Government College of Engineering, Ratnagiri",Maharashtra State,Approved Institute
03109,"S.I.E.S. College of Management Studies, Mumbai",Maharashtra State,Approved Institute
03117,"Gurunanak Institute of Management Studies, Mumbai",Maharashtra State,Approved Institute
03127,"NCRD's Sterling Institute of Management Studies, Navi Mumbai",Maharashtra State,Approved Institute
03129,"Mumbai Institute of Management & Research, Mumbai",Maharashtra State,Approved Institute
03133,"Swayamsiddhi Mitra Sangh's College of Management & Research, Thane",Maharashtra State,Approved Institute
03135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Maharashtra State,Approved Institute
03139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Maharashtra State,Approved Institute
03143,"Thakur Shyamnarayan Engineering College, Mumbai",Maharashtra State,Approved Institute
03146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Maharashtra State,Approved Institute
03147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat",Maharashtra State,Approved Institute
03148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Maharashtra State,Approved Institute
